Date,Location,Total,ForeignInflow,GroupTotal,Shincheonji,GroupCases,PersonsInContact,ForeignGroupInflow,Other,New
2020-03-27,Sejong,44,0,42,1,38,3,0,2,0
2020-03-27,Gyeonggi,412,49,315,29,210,60,16,48,11
2020-03-27,Gangwon,31,2,22,17,5,0,0,7,0
2020-03-27,Chungbuk,41,1,28,6,11,11,0,12,2
2020-03-27,Chungnam,124,5,112,0,112,0,0,7,0
2020-03-27,Jeonbuk,10,3,1,1,0,0,0,6,0
2020-03-27,Jeonnam,8,1,4,1,0,2,1,3,0
2020-03-27,Gyeongbuk,1283,1,1117,554,390,172,1,165,9
2020-03-27,Gyeongnam,91,2,73,32,35,6,0,16,1
2020-03-27,Jeju,7,2,0,0,0,0,0,5,1
2020-03-27,Quarantine,144,144,0,0,0,0,0,0,13
2020-03-28,Seoul,390,83,272,7,201,34,30,35,18
2020-03-28,Busan,114,4,76,11,49,16,0,34,1
2020-03-28,Daegu,6587,2,5562,4400,430,732,0,1023,71
2020-03-28,Incheon,51,14,34,2,27,3,2,3,5
2020-03-28,Gwangju,20,5,14,9,0,2,3,1,0
2020-03-28,Daejeon,31,3,18,2,10,6,0,10,0
2020-03-28,Ulsan,39,8,24,16,1,4,3,7,0
2020-03-28,Sejong,44,0,42,1,38,3,0,2,0
2020-03-28,Gyeonggi,433,55,333,29,223,64,17,45,21
2020-03-28,Gangwon,32,3,22,17,5,0,0,7,1
2020-03-28,Chungbuk,41,2,27,6,11,10,0,12,0
2020-03-28,Chungnam,126,5,113,0,112,1,0,8,2
2020-03-28,Jeonbuk,10,3,1,1,0,0,0,6,0
2020-03-28,Jeonnam,8,1,4,1,0,2,1,3,0
2020-03-28,Gyeongbuk,1285,1,1120,555,390,174,1,164,2
2020-03-28,Gyeongnam,91,3,72,32,35,5,0,16,0
2020-03-28,Jeju,8,3,0,0,0,0,0,5,1
2020-03-28,Quarantine,168,168,0,0,0,0,0,0,24
2020-03-29,Seoul,410,92,281,7,207,35,32,37,20
2020-03-29,Busan,117,5,76,11,49,16,0,36,3
2020-03-29,Daegu,6610,3,5584,4400,450,732,2,1023,23
2020-03-29,Incheon,58,15,36,2,28,4,2,7,7
2020-03-29,Gwangju,20,5,14,9,0,2,3,1,0
2020-03-29,Daejeon,34,4,20,2,11,7,0,10,3
2020-03-29,Ulsan,39,8,24,16,1,4,3,7,0
2020-03-29,Sejong,46,0,42,1,38,3,0,4,2
2020-03-29,Gyeonggi,448,64,335,29,228,60,18,49,15
2020-03-29,Gangwon,34,4,22,17,5,0,0,8,2
2020-03-29,Chungbuk,41,2,27,6,11,10,0,12,0
2020-03-29,Chungnam,127,7,113,0,112,1,0,7,1
2020-03-29,Jeonbuk,12,3,1,1,0,0,0,8,2
2020-03-29,Jeonnam,9,1,4,1,2,2,1,2,1
2020-03-29,Gyeongbuk,1287,1,1121,555,390,175,1,165,2
2020-03-29,Gyeongnam,94,5,72,32,35,5,0,17,3
2020-03-29,Jeju,8,4,0,0,0,0,0,4,0
2020-03-29,Quarantine,189,189,0,0,0,0,0,0,21
2020-03-30,Seoul,426,109,284,7,209,32,36,33,16
2020-03-30,Busan,118,8,80,12,50,18,0,30,1
2020-03-30,Daegu,6624,4,5871,4467,489,913,2,749,14
2020-03-30,Incheon,58,19,36,2,29,3,2,3,0
2020-03-30,Gwangju,20,5,14,9,0,2,3,1,0
2020-03-30,Daejeon,34,4,21,2,11,8,0,9,0
2020-03-30,Ulsan,39,8,24,16,1,4,3,7,0
2020-03-30,Sejong,46,3,42,1,38,3,0,1,0
2020-03-30,Gyeonggi,463,79,342,29,237,58,18,42,15
2020-03-30,Gangwon,36,5,23,17,5,1,0,8,2
2020-03-30,Chungbuk,44,3,32,6,11,15,0,9,3
2020-03-30,Chungnam,127,7,113,0,112,1,0,7,0
2020-03-30,Jeonbuk,13,5,1,1,0,0,0,7,1
2020-03-30,Jeonnam,9,2,6,1,2,2,1,1,0
2020-03-30,Gyeongbuk,1298,2,1162,559,409,193,1,134,11
2020-03-30,Gyeongnam,95,6,72,32,35,5,0,17,1
2020-03-30,Jeju,9,5,0,0,0,0,0,4,1
2020-03-30,Quarantine,202,202,0,0,0,0,0,0,13
2020-03-31,Seoul,450,119,293,7,217,32,37,38,24
2020-03-31,Busan,119,8,80,12,50,18,0,31,1
2020-03-31,Daegu,6684,5,5930,4468,545,914,3,749,60
2020-03-31,Incheon,64,21,36,2,29,3,2,7,6
2020-03-31,Gwangju,20,5,14,9,0,2,3,1,0
2020-03-31,Daejeon,36,4,21,2,11,8,0,11,2
2020-03-31,Ulsan,39,8,24,16,1,4,3,7,0
2020-03-31,Sejong,46,3,42,1,38,3,0,1,0
2020-03-31,Gyeonggi,476,86,348,29,243,58,18,42,13
2020-03-31,Gangwon,36,6,22,17,5,0,0,8,0
2020-03-31,Chungbuk,44,4,32,6,11,13,2,8,0
2020-03-31,Chungnam,128,7,113,0,112,1,0,8,1
2020-03-31,Jeonbuk,13,6,1,1,0,0,0,6,0
2020-03-31,Jeonnam,9,2,6,1,2,2,1,1,0
2020-03-31,Gyeongbuk,1300,5,1162,559,409,193,1,133,2
2020-03-31,Gyeongnam,96,7,72,32,35,5,0,17,1
2020-03-31,Jeju,9,5,0,0,0,0,0,4,0
2020-03-31,Quarantine,217,217,0,0,0,0,0,0,15
2020-04-01,Seoul,474,127,310,7,228,37,38,37,24
2020-04-01,Busan,122,12,80,12,50,18,0,30,3
2020-04-01,Daegu,6704,5,5961,4477,563,918,3,738,20
2020-04-01,Incheon,69,25,40,2,31,4,3,4,5
2020-04-01,Gwangju,24,6,15,9,0,3,3,3,4
2020-04-01,Daejeon,36,6,21,2,11,8,0,9,0
2020-04-01,Ulsan,39,8,24,16,1,4,3,7,0
2020-04-01,Sejong,46,3,42,1,38,3,0,1,0
2020-04-01,Gyeonggi,499,96,359,29,251,61,18,44,23
2020-04-01,Gangwon,38,7,23,17,5,1,0,8,2
2020-04-01,Chungbuk,44,4,31,5,11,13,2,9,0
2020-04-01,Chungnam,131,8,114,0,112,2,0,9,3
2020-04-01,Jeonbuk,14,6,1,1,0,0,0,7,1
2020-04-01,Jeonnam,12,4,6,1,2,2,1,2,3
2020-04-01,Gyeongbuk,1302,5,1164,559,411,193,1,133,2
2020-04-01,Gyeongnam,100,9,72,32,35,5,0,19,4
2020-04-01,Jeju,9,5,0,0,0,0,0,4,0
2020-04-01,Quarantine,224,224,0,0,0,0,0,0,7
2020-04-02,Seoul,488,134,314,7,237,30,40,40,14
2020-04-02,Busan,122,12,80,12,50,18,0,30,0
2020-04-02,Daegu,6725,6,5979,4477,578,921,3,740,21
2020-04-02,Incheon,73,27,43,2,31,6,4,3,4
2020-04-02,Gwangju,25,8,16,9,0,1,6,1,1
2020-04-02,Daejeon,36,6,21,2,11,8,0,9,0
2020-04-02,Ulsan,40,8,24,16,1,4,3,8,1
2020-04-02,Sejong,46,3,42,1,38,3,0,1,0
2020-04-02,Gyeonggi,516,102,371,29,262,61,19,43,17
2020-04-02,Gangwon,39,8,23,17,6,0,0,8,1
2020-04-02,Chungbuk,44,4,32,6,18,6,2,8,0
2020-04-02,Chungnam,133,8,117,0,114,3,0,8,2
2020-04-02,Jeonbuk,14,6,3,1,2,0,0,5,0
2020-04-02,Jeonnam,14,5,7,1,3,2,1,2,2
2020-04-02,Gyeongbuk,1304,7,1164,562,412,189,1,133,2
2020-04-02,Gyeongnam,106,10,76,32,37,7,0,20,6
2020-04-02,Jeju,9,5,0,0,0,0,0,4,0
2020-04-02,Quarantine,242,242,0,0,0,0,0,0,18
2020-04-03,Seoul,506,148,319,7,239,31,42,39,18
2020-04-03,Busan,122,12,80,12,50,18,0,30,0
2020-04-03,Daegu,6734,7,5986,4478,582,923,3,741,9
2020-04-03,Incheon,74,27,43,2,33,4,4,4,1
2020-04-03,Gwangju,26,9,16,9,0,1,6,1,1
2020-04-03,Daejeon,36,6,21,2,11,8,0,9,0
2020-04-03,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-03,Sejong,46,3,42,1,38,3,0,1,0
2020-04-03,Gyeonggi,539,107,389,29,274,63,23,43,23
2020-04-03,Gangwon,41,8,25,17,6,2,0,8,2
2020-04-03,Chungbuk,45,4,32,6,18,6,2,9,1
2020-04-03,Chungnam,134,8,119,0,118,1,0,7,1
2020-04-03,Jeonbuk,15,6,3,1,2,0,0,6,1
2020-04-03,Jeonnam,15,6,7,1,3,2,1,2,1
2020-04-03,Gyeongbuk,1309,7,1168,562,413,192,1,134,5
2020-04-03,Gyeongnam,107,11,78,32,41,5,0,18,1
2020-04-03,Jeju,9,5,0,0,0,0,0,4,0
2020-04-03,Quarantine,264,264,0,0,0,0,0,0,22
2020-04-04,Seoul,528,162,321,7,240,26,48,45,22
2020-04-04,Busan,122,12,80,12,50,18,0,30,0
2020-04-04,Daegu,6761,8,6010,4480,608,919,3,743,27
2020-04-04,Incheon,77,29,44,2,34,4,4,4,3
2020-04-04,Gwangju,26,10,16,9,0,1,6,0,0
2020-04-04,Daejeon,36,6,21,2,11,8,0,9,0
2020-04-04,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-04,Sejong,46,3,42,1,38,3,0,1,0
2020-04-04,Gyeonggi,562,110,408,29,279,66,34,44,23
2020-04-04,Gangwon,42,8,26,17,8,1,0,8,1
2020-04-04,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-04,Chungnam,135,8,119,0,117,1,1,8,1
2020-04-04,Jeonbuk,15,7,3,1,2,0,0,5,0
2020-04-04,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-04,Gyeongbuk,1310,8,1167,562,414,190,1,135,1
2020-04-04,Gyeongnam,108,12,79,32,42,5,0,17,1
2020-04-04,Jeju,9,5,0,0,0,0,0,4,0
2020-04-04,Quarantine,279,279,0,0,0,0,0,0,15
2020-04-05,Seoul,552,179,334,7,244,29,54,39,24
2020-04-05,Busan,122,12,80,12,50,18,0,30,0
2020-04-05,Daegu,6768,10,6041,4506,614,918,3,717,7
2020-04-05,Incheon,79,31,44,2,34,4,4,4,2
2020-04-05,Gwangju,27,11,16,9,0,1,6,0,1
2020-04-05,Daejeon,37,6,22,2,11,9,0,9,1
2020-04-05,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-05,Sejong,46,3,42,1,38,3,0,1,0
2020-04-05,Gyeonggi,572,114,411,29,282,61,39,47,10
2020-04-05,Gangwon,45,9,28,17,10,1,0,8,3
2020-04-05,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-05,Chungnam,135,8,119,0,117,1,1,8,0
2020-04-05,Jeonbuk,16,7,3,1,2,0,0,6,1
2020-04-05,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-05,Gyeongbuk,1314,9,1172,566,415,190,1,133,4
2020-04-05,Gyeongnam,109,12,80,32,42,6,0,17,1
2020-04-05,Jeju,12,6,1,0,0,0,1,5,3
2020-04-05,Quarantine,303,303,0,0,0,0,0,0,24
2020-04-06,Seoul,563,187,340,7,248,28,57,36,11
2020-04-06,Busan,122,12,80,12,50,18,0,30,0
2020-04-06,Daegu,6781,11,6056,4507,625,920,4,714,13
2020-04-06,Incheon,80,31,45,2,34,5,4,4,1
2020-04-06,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-06,Daejeon,39,8,21,2,11,8,0,10,2
2020-04-06,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-06,Sejong,46,3,42,1,38,3,0,1,0
2020-04-06,Gyeonggi,580,122,414,29,287,60,38,44,8
2020-04-06,Gangwon,45,9,28,17,11,0,0,8,0
2020-04-06,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-06,Chungnam,136,8,119,0,117,1,1,9,1
2020-04-06,Jeonbuk,16,7,4,1,3,0,0,5,0
2020-04-06,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-06,Gyeongbuk,1316,9,1174,566,417,190,1,133,2
2020-04-06,Gyeongnam,111,13,80,32,43,5,0,18,2
2020-04-06,Jeju,12,7,1,0,0,0,1,4,0
2020-04-06,Quarantine,310,310,0,0,0,0,0,0,7
2020-04-07,Seoul,567,200,340,7,248,27,58,27,4
2020-04-07,Busan,123,12,80,12,50,18,0,31,1
2020-04-07,Daegu,6794,12,6067,4508,636,919,4,715,13
2020-04-07,Incheon,80,31,45,2,34,5,4,4,0
2020-04-07,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-07,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-07,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-07,Sejong,46,3,42,1,38,3,0,1,0
2020-04-07,Gyeonggi,590,125,421,29,292,62,38,44,10
2020-04-07,Gangwon,47,10,28,17,11,0,0,9,2
2020-04-07,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-07,Chungnam,137,8,120,0,118,1,1,9,1
2020-04-07,Jeonbuk,16,7,4,1,3,0,0,5,0
2020-04-07,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-07,Gyeongbuk,1317,9,1175,566,417,191,1,133,1
2020-04-07,Gyeongnam,112,13,81,32,43,6,0,18,1
2020-04-07,Jeju,12,7,1,0,0,0,1,4,0
2020-04-07,Quarantine,324,324,0,0,0,0,0,0,14
2020-04-08,Seoul,578,207,341,7,248,26,60,30,11
2020-04-08,Busan,125,15,81,12,50,18,1,29,2
2020-04-08,Daegu,6803,12,6075,4508,640,923,4,716,9
2020-04-08,Incheon,84,31,45,2,34,5,4,8,4
2020-04-08,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-08,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-08,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-08,Sejong,46,3,42,1,38,3,0,1,0
2020-04-08,Gyeonggi,596,128,423,29,295,59,40,45,6
2020-04-08,Gangwon,49,12,30,17,13,0,0,7,2
2020-04-08,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-08,Chungnam,137,8,120,0,118,1,1,9,0
2020-04-08,Jeonbuk,17,8,4,1,3,0,0,5,1
2020-04-08,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-08,Gyeongbuk,1320,9,1175,566,417,191,1,136,3
2020-04-08,Gyeongnam,113,13,83,32,43,7,1,17,1
2020-04-08,Jeju,12,7,1,0,0,0,1,4,0
2020-04-08,Quarantine,338,338,0,0,0,0,0,0,14
2020-04-09,Seoul,590,217,347,8,256,19,64,26,12
2020-04-09,Busan,125,15,81,12,50,18,1,29,0
2020-04-09,Daegu,6807,12,6079,4508,645,922,4,716,4
2020-04-09,Incheon,84,33,46,2,34,5,5,5,0
2020-04-09,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-09,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-09,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-09,Sejong,46,3,42,1,38,3,0,1,0
2020-04-09,Gyeonggi,606,134,429,29,297,59,44,43,10
2020-04-09,Gangwon,49,12,30,17,13,0,0,7,0
2020-04-09,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-09,Chungnam,138,8,120,0,118,1,1,10,1
2020-04-09,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-09,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-09,Gyeongbuk,1320,9,1178,566,420,191,1,133,0
2020-04-09,Gyeongnam,115,14,84,32,45,6,1,17,2
2020-04-09,Jeju,12,7,1,0,0,0,1,4,0
2020-04-09,Quarantine,348,348,0,0,0,0,0,0,10
2020-04-10,Seoul,595,218,350,8,257,20,65,27,5
2020-04-10,Busan,126,15,81,12,50,18,1,30,1
2020-04-10,Daegu,6807,12,6079,4508,646,921,4,716,0
2020-04-10,Incheon,85,34,47,2,34,5,6,4,1
2020-04-10,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-10,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-10,Ulsan,40,9,24,16,1,4,3,7,0
2020-04-10,Sejong,46,3,42,1,38,3,0,1,0
2020-04-10,Gyeonggi,615,135,433,29,299,60,45,47,9
2020-04-10,Gangwon,49,12,30,17,13,0,0,7,0
2020-04-10,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-10,Chungnam,138,9,120,0,118,1,1,9,0
2020-04-10,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-10,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-10,Gyeongbuk,1327,9,1181,566,421,193,1,137,7
2020-04-10,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-10,Jeju,12,7,1,0,0,0,1,4,0
2020-04-10,Quarantine,352,352,0,0,0,0,0,0,4
2020-04-11,Seoul,599,222,349,8,258,18,65,28,4
2020-04-11,Busan,126,15,81,12,50,18,1,30,0
2020-04-11,Daegu,6814,13,6085,4508,651,922,4,716,7
2020-04-11,Incheon,85,34,47,2,34,5,6,4,0
2020-04-11,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-11,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-11,Ulsan,41,10,24,16,1,4,3,7,1
2020-04-11,Sejong,46,3,42,1,38,3,0,1,0
2020-04-11,Gyeonggi,624,140,439,29,302,58,50,45,9
2020-04-11,Gangwon,49,12,30,17,13,0,0,7,0
2020-04-11,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-11,Chungnam,138,9,120,0,118,1,1,9,0
2020-04-11,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-11,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-11,Gyeongbuk,1330,9,1185,566,427,191,1,136,3
2020-04-11,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-11,Jeju,12,7,1,0,0,0,1,4,0
2020-04-11,Quarantine,358,358,0,0,0,0,0,0,6
2020-04-12,Seoul,602,225,350,8,258,19,65,27,3
2020-04-12,Busan,126,15,81,12,50,18,1,30,0
2020-04-12,Daegu,6816,14,6085,4508,651,922,4,717,2
2020-04-12,Incheon,86,35,47,2,34,5,6,4,1
2020-04-12,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-12,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-12,Ulsan,41,10,24,16,1,4,3,7,0
2020-04-12,Sejong,46,3,42,1,38,3,0,1,0
2020-04-12,Gyeonggi,628,143,440,29,302,58,51,45,4
2020-04-12,Gangwon,49,12,30,17,13,0,0,7,0
2020-04-12,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-12,Chungnam,139,9,120,0,118,1,1,10,1
2020-04-12,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-12,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-12,Gyeongbuk,1333,9,1190,566,432,191,1,134,3
2020-04-12,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-12,Jeju,12,7,1,0,0,0,1,4,0
2020-04-12,Quarantine,376,376,0,0,0,0,0,0,18
2020-04-13,Seoul,610,233,355,8,262,18,67,22,8
2020-04-13,Busan,126,16,81,12,50,18,1,29,0
2020-04-13,Daegu,6819,14,6088,4508,653,923,4,717,3
2020-04-13,Incheon,87,36,47,2,34,5,6,4,1
2020-04-13,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-13,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-13,Ulsan,41,10,24,16,1,4,3,7,0
2020-04-13,Sejong,46,3,42,1,38,3,0,1,0
2020-04-13,Gyeonggi,631,143,442,29,302,58,53,46,3
2020-04-13,Gangwon,49,12,30,17,13,0,0,7,0
2020-04-13,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-13,Chungnam,139,10,120,0,118,1,1,9,0
2020-04-13,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-13,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-13,Gyeongbuk,1337,9,1194,566,436,191,1,134,4
2020-04-13,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-13,Jeju,12,7,1,0,0,0,1,4,0
2020-04-13,Quarantine,382,382,0,0,0,0,0,0,6
2020-04-14,Seoul,612,233,355,8,262,18,67,24,2
2020-04-14,Busan,126,16,81,12,50,18,1,29,0
2020-04-14,Daegu,6822,15,6090,4509,655,922,4,717,3
2020-04-14,Incheon,88,37,47,2,34,5,6,4,1
2020-04-14,Gwangju,27,11,16,9,0,1,6,0,0
2020-04-14,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-14,Ulsan,42,10,24,16,1,4,3,8,1
2020-04-14,Sejong,46,3,42,1,38,3,0,1,0
2020-04-14,Gyeonggi,639,145,447,29,305,60,53,47,8
2020-04-14,Gangwon,49,12,30,17,13,0,0,7,0
2020-04-14,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-14,Chungnam,139,10,120,0,118,1,1,9,0
2020-04-14,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-14,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-14,Gyeongbuk,1342,9,1197,566,439,191,1,136,5
2020-04-14,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-14,Jeju,12,7,1,0,0,0,1,4,0
2020-04-14,Quarantine,389,389,0,0,0,0,0,0,7
2020-04-15,Seoul,617,238,356,8,262,19,67,23,5
2020-04-15,Busan,127,17,81,12,50,18,1,29,1
2020-04-15,Daegu,6823,16,6090,4509,655,922,4,717,1
2020-04-15,Incheon,88,37,47,2,34,5,6,4,0
2020-04-15,Gwangju,28,11,16,9,0,1,6,1,1
2020-04-15,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-15,Ulsan,42,11,24,16,1,4,3,7,0
2020-04-15,Sejong,46,3,42,1,38,3,0,1,0
2020-04-15,Gyeonggi,645,146,457,29,312,59,57,42,6
2020-04-15,Gangwon,51,13,31,17,14,0,0,7,2
2020-04-15,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-15,Chungnam,139,10,120,0,118,1,1,9,0
2020-04-15,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-15,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-15,Gyeongbuk,1348,9,1205,566,446,192,1,134,6
2020-04-15,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-15,Jeju,13,8,1,0,0,0,1,4,1
2020-04-15,Quarantine,393,393,0,0,0,0,0,0,4
2020-04-16,Seoul,619,239,357,8,262,18,69,23,2
2020-04-16,Busan,130,20,81,12,50,18,1,29,3
2020-04-16,Daegu,6827,16,6094,4509,659,922,4,717,4
2020-04-16,Incheon,88,37,47,2,34,5,6,4,0
2020-04-16,Gwangju,28,12,16,9,0,1,6,0,0
2020-04-16,Daejeon,39,9,21,2,11,8,0,9,0
2020-04-16,Ulsan,42,11,24,16,1,4,3,7,0
2020-04-16,Sejong,46,3,42,1,38,3,0,1,0
2020-04-16,Gyeonggi,649,149,458,29,313,58,58,42,4
2020-04-16,Gangwon,52,13,32,17,15,0,0,7,1
2020-04-16,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-16,Chungnam,139,10,120,0,118,1,1,9,0
2020-04-16,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-16,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-16,Gyeongbuk,1352,9,1209,566,451,191,1,134,4
2020-04-16,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-16,Jeju,13,8,1,0,0,0,1,4,0
2020-04-16,Quarantine,397,397,0,0,0,0,0,0,4
2020-04-17,Seoul,621,241,357,8,262,18,69,23,2
2020-04-17,Busan,130,20,81,12,50,18,1,29,0
2020-04-17,Daegu,6827,16,6092,4509,657,922,4,719,0
2020-04-17,Incheon,89,37,48,2,34,5,7,4,1
2020-04-17,Gwangju,30,14,16,9,0,1,6,0,2
2020-04-17,Daejeon,40,9,21,2,11,8,0,10,1
2020-04-17,Ulsan,42,11,24,16,1,4,3,7,0
2020-04-17,Sejong,46,3,42,1,38,3,0,1,0
2020-04-17,Gyeonggi,650,150,459,29,314,55,61,41,1
2020-04-17,Gangwon,52,13,32,17,15,0,0,7,0
2020-04-17,Chungbuk,45,5,32,6,18,6,2,8,0
2020-04-17,Chungnam,139,10,120,0,118,1,1,9,0
2020-04-17,Jeonbuk,17,8,4,1,3,0,0,5,0
2020-04-17,Jeonnam,15,7,7,1,3,2,1,1,0
2020-04-17,Gyeongbuk,1356,9,1213,566,455,191,1,134,4
2020-04-17,Gyeongnam,115,14,84,32,45,6,1,17,0
2020-04-17,Jeju,13,8,1,0,0,0,1,4,0
2020-04-17,Quarantine,408,408,0,0,0,0,0,0,11
